"Reference","Value","LCSC","Datasheet","BOM Comments","Footprint","Qty","DNP"
"C1,C2","22u","C45783","~","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C3,C26","22n","C1729","~","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C4,C27","10n","C1710 ","~","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C5,C7,C8,C9,C11,C19,C20","47u","C16780 ","~","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7",""
"C6,C18,C21","0.1u","C28233 ","~","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C10","47u (Optional DC Block)","C22320","~","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C17","1u","C28323 ","~","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D2","BAT54S","C12765","https://www.diodes.com/assets/Datasheets/ds11005.pdf","","Package_TO_SOT_SMD:SOT-23","1",""
"J1","DE9_Receptacle","C17515865","~","","bruce-footprints:CONN_A-DF 09 A&slash_KG-T2S_ASM","1",""
"J2","PJ-102AH","C3096093","","","bruce-footprints:Power_5.5mm_CUI_PJ-102AH","1",""
"J3","Conn_01x20","C22465880","~","Standard 2.54mm pin header","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","1",""
"J4","Conn_01x02","C492401","~","Standard 2.54mm pin header","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"Q1","DMG2305UX-13","C144153","https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf","","digikey-footprints:SOT-23-3","1",""
"R1,R15","1.5k","C4310","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R2,R16","2.7k","C17530","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R3,R18","0R","C17477","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R4","620","C58633","~","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","1",""
"R5,R6,R12,R13","2.2k","C17520","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R7","10","C17415","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R8,R19","220","C17557","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R9","1k","C17513","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R10","330k 1%","C17629","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R11","270k 1%","C17589","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R17,R20,R22","100","C17408","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R21","4.7","C17675","~","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R24","2,.2k","C58595 ","~","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","1",""
"R25","39k","C58645","~","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","1",""
"R26","0R 1206","C17888","~","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"RV1,RV2","50k","C81264","~","","bruce-footprints:POT_3362P","2",""
"S1","~","C7203003","","","bruce-footprints:RPi_PicoW_SMD_TH","1",""
"SW0","TS04-66-55-BK-160-SMT","C4364775","","","TS04-66-55-BK-160-SMT:SW_TS04-66-55-BK-160-SMT","1",""
"T1,T2","Transformer_1P_1S 600 Ohm","","~","600:600 ohm audio transformer (Amazon or AliExpress)","bruce-footprints:CheapAudioTransformer","2",""
"U1","TLV9164PWR","C4368361","http://www.ti.com/lit/ds/symlink/lmv324.pdf","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U2,U5","LTV-356T","C125117 ","http://optoelectronics.liteon.com/upload/download/DS70-2001-010/S_110_LTV-356T%2020140520.pdf","","Package_SO:SO-4_4.4x3.6mm_P2.54mm","2",""
"U3","LM1117MP-3.3","C9662","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U4","MCP4725A0T-E/CH","C144198","http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf","","Package_TO_SOT_SMD:SOT-23-6","1",""
"U7","LM4040D30IDBZR","C2157213","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","","Package_TO_SOT_SMD:SOT-23","1",""
"D1","Red","C84256","~","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D3","Blue","C2293","~","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D4","Green","C2297","~","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
