a	0	4180
b	4180	3622
c	7802	4087
d	11889	3808
e	15697	4431
f	20127	3185
g	23313	4087
h	27400	3994
i	31393	4087
j	35480	4087
k	39567	4180
l	43746	3808
m	47554	3994
n	51548	3994
o	55542	3901
p	59443	3622
q	63065	4087
r	67152	4458
s	71610	3158
t	74768	3529
u	78298	3808
v	82106	4087
w	86192	4458
x	90651	3622
y	94273	4365
z	98638	4365
0	103004	4923
1	107926	4087
2	112013	4087
3	116100	4365
4	120465	3994
5	124459	4087
6	128546	3715
7	132261	4644
8	136905	3901
9	140806	4923
!	145728	5573
@	151301	4551
#	155852	7413
_	163265	4000
